,#SYM,CUR,NAME,CON,ISIN,REBATERATE,FEERATE,AVAILABLE
1181,7239,JPY,TACHI-S CO LTD,14031935,JP3465400004,-1.072,0.982,1900000
1182,7240,JPY,NOK CORP,14017275,JP3164800009,-2.415,2.325,850000
1183,7241,JPY,FUTABA INDUSTRIAL CO LTD,14017278,JP3824000008,-1.1025,1.0125,700000
1184,7242,JPY,KYB CORP,14017280,JP3220200004,-1.235,1.145,150000
1185,7244,JPY,ICHIKOH INDUSTRIES LTD,14017290,JP3141600001,-0.84,0.75,1200000
1186,7245,JPY,DAIDO METAL CO LTD,47419240,JP3491800003,-1.085,0.995,500000
1187,7246,JPY,PRESS KOGYO CO LTD,14017295,JP3833600004,-1.075,0.985,2700000
1188,7247,JPY,MIKUNI CORP,14031938,JP3882800000,-2.35,2.26,200000
1189,7250,JPY,PACIFIC INDUSTRIAL CO LTD,14017300,JP3448400006,-1.023,0.933,700000
1190,7251,JPY,KEIHIN CORP,14017307,JP3277230003,-1.1025,1.0125,1800000
1191,7256,JPY,KASAI KOGYO CO LTD,14031944,JP3208600001,-1.1025,1.0125,1100000
1192,7259,JPY,AISIN SEIKI CO LTD,14017314,JP3102000001,-0.98,0.89,2500000
1193,7261,JPY,MAZDA MOTOR CORP,13905821,JP3868400007,-1.067,0.977,8900000
1194,7266,JPY,IMASEN ELECTRIC INDUSTRIAL,44257384,JP3149100004,-1.102,1.012,250000
1195,7267,JPY,HONDA MOTOR CO LTD,13905825,JP3854600008,-1.365,1.275,>10000000
1196,7269,JPY,SUZUKI MOTOR CORP,13905828,JP3397200001,-1.025,0.935,4800000
1197,7270,JPY,SUBARU CORP,13905835,JP3814800003,-1.058,0.968,7200000
1198,7271,JPY,YASUNAGA CORP,131085076,JP3932850005,-7.988,7.898,15000
1199,7272,JPY,YAMAHA MOTOR CO LTD,14017331,JP3942800008,-0.991,0.901,4400000
1200,7274,JPY,SHOWA CORP,14017334,JP3360300002,-1.005,0.915,3100000
